MADE BY @ALEXKATSON,,,,BUY ME A BEER,,,,,,,,,
Name,Position,School,Height,Weight,Hand,Arm,Wing,40,Bench,3-Cone,Shuttle,Vertical,Broad
Jalen Graham,LB,Purdue,6017,226,0978,3300,7868,4.80,18,7.31,4.46,31.5,0906
Bryce Hampton,CB,Purdue,5103,198,1000,3068,7448,4.64,--,7.20,4.27,36.5,0910
Reese Taylor,CB,Purdue,5094,188,1000,3038,7528,4.46,12,6.63,4.07,38.5,1005
Cory Trice,CB,Purdue,6033,205,0968,3238,7700,--,--,6.70,4.06,--,--
Chris Jefferson,S,Purdue,5102,206,0958,3078,7558,4.87,13,7.28,4.38,33,0909
Mitchell Fineran,K,Purdue,5102,181,0828,2948,7278,DID NOT TEST - POSITIONAL ONLY,,,,,
Nick Zecchino,LS,Purdue,5113,225,0948,3048,7438,5.20,10,7.64,4.70,31,0806
Roschon Johnson,RB,Texas,6003,225,0958,3200,7678,DID NOT TEST - COMBINE/HAND,,,,,
Bijan Robinson,RB,Texas,5110,215,0968,3118,7468,DID NOT TEST - COMBINE,,,,,
Tarique Milton,WR,Texas,5105,199,0938,3028,7468,4.53,--,6.94,4.26,34.5,0910
Jahleel Billingsley,TE,Texas,6040,223,0938,3248,7878,4.60,--,7.14,4.52,36,0909
Keondre Coburn,IDL,Texas,6016,336,0918,3148,7658,--,--,7.56,4.70,--,--
Moro Ojomo,IDL,Texas,6025,289,1038,3448,8338,--,--,7.45,4.60,--,--
DeMarvion Overshown,LB,Texas,6025,229,0948,3228,7818,--,--,7.17,4.47,36.5,1006
D'Shawn Jamison,CB,Texas,5092,184,0848,3048,7518,4.51,13,6.74,4.28,33,1003
Anthony Cook,S,Texas,6001,188,0868,3118,7628,4.63,12,6.97,4.31,34,1005
Daniel Trejo,P,Texas,6004,217,0968,3118,7438,DID NOT TEST - POSITIONAL ONLY,,,,,
Tommy DeVito,QB,Illinois,6010,210,1018,2978,7338,4.66,--,--,4.36,33,0906
Ryan Johnson,QB,Illinois,6034,221,1000,3218,7800,4.93,--,7.41,4.52,31.5,0903
Chase Brown,RB,Illinois,5094,209,1000,3100,7518,DID NOT TEST - COMBINE,,,,,
Chase Hayden,RB,Illinois,5104,202,0838,2978,7238,4.73,13,7.00,4.43,33,1001
Kody Case,WR,Illinois,5096,182,0928,2948,6978,4.44,16,6.91,4.18,35.5,1007
Luke Ford,TE,Illinois,6056,268,0948,3328,7978,5.00,15,7.15,4.60,29.5,0811
Michael Marchese,TE,Illinois,6034,235,0868,3048,7648,4.80,17,7.33,4.40,35.5,0809
Alex Palczewski,OT,Illinois,6064,303,0928,3358,8148,5.28,22,7.74,4.57,28.5,0807
Alex Pihlstrom,C,Illinois,6053,302,1028,3318,7828,5.01,24,7.52,4.81,28.5,0900
Calvin Avery,IDL,Illinois,6014,345,1000,3248,8178,5.38,31,8.01,5.00,30.5,0805
Deon Pate,IDL,Illinois,6014,288,0958,3218,7828,5.35,16,7.95,4.87,30,0904
Jamal Woods,IDL,Illinois,6016,294,1018,3238,7858,4.96,27,7.48,4.56,30,0903
Isaac Darkangelo,LB,Illinois,6003,227,0948,3128,7578,4.60,23,7.01,4.26,31,0902
Terrell Jennings,CB,Illinois,5111,189,0848,3148,7358,4.50,13,7.13,4.44,32.5,0910
Jartavius Martin,CB,Illinois,5110,194,0958,3118,7738,DID NOT TEST - COMBINE,,,,,
Devon Witherspoon,CB,Illinois,5114,181,0878,3128,7358,4.45,--,--,--,--,--
Sydney Brown,S,Illinois,5096,211,1028,3148,7600,DID NOT TEST - COMBINE,,,,,
